date,forecast,real
2025-01-01,174.11465226191356,364.0838199999999
2025-01-02,234.67131314418944,315.7338900000001
2025-01-03,230.5266897067104,214.26514
2025-01-04,185.89727034661206,177.5207799999999
2025-01-05,219.28129831850174,196.0603699999999
2025-01-06,187.82949960657612,158.5347799999999
2025-01-07,85.85725914562411,45.94010000000001
2025-01-08,195.9389682356394,231.0209099999998
2025-01-09,209.48060512198768,216.5655999999999
2025-01-10,187.87874462988006,177.4871199999999
2025-01-11,156.21888212085125,163.89189
2025-01-12,187.73096030320838,144.0654599999999
2025-01-13,154.9333677450476,104.21255
2025-01-14,67.01860894036773,26.83500000000001
2025-01-15,212.71224938892166,195.3645199999999
2025-01-16,199.36142059796703,164.5690099999999
2025-01-17,163.86955279006125,157.0771699999999
2025-01-18,137.95350371900932,111.11131
2025-01-19,169.21437500867364,110.50264
2025-01-20,135.10749963565834,82.40739000000002
2025-01-21,57.48406513862422,18.4579
2025-01-22,208.89001392383418,186.28086
2025-01-23,187.49066880576086,161.2731599999999
2025-01-24,149.83974408428335,135.0435099999999
2025-01-25,127.15658442155006,115.5525
2025-01-26,155.24360088870708,116.31954
2025-01-27,122.9719807863019,83.65056000000001
2025-01-28,52.27165300075179,23.7542
2025-01-29,198.00173193959535,201.3706999999997
2025-01-30,176.55290875639213,165.7147099999999
2025-01-31,141.2065385985981,144.80856
2025-02-01,114.17968808957276,121.15772
2025-02-02,140.80742972949497,146.56777
2025-02-03,111.68678288463155,104.43568
2025-02-04,47.84732339941028,26.8609
2025-02-05,181.8388151926933,207.4009899999998
2025-02-06,161.45454241151205,202.8726599999999
2025-02-07,129.08741805439726,151.06249
2025-02-08,110.86244125239823,122.02859
2025-02-09,136.5736444303173,97.27101000000002
2025-02-10,108.29683415060843,90.20359
2025-02-11,46.45775428517196,34.1057
2025-02-12,177.04321347438952,205.88283
2025-02-13,158.37661257177336,208.4808799999999
2025-02-14,126.08841761320528,143.68826
2025-02-15,110.17461687064197,95.77571
2025-02-16,136.61748897442138,127.1890799999999
2025-02-17,108.7031450471369,94.53265
2025-02-18,46.495128543535365,30.69540000000001
2025-02-19,178.08154329120663,167.3283699999999
2025-02-20,158.96031893757421,157.56817
2025-02-21,127.44234995247426,139.61181
2025-02-22,109.31645317480002,110.50294
2025-02-23,133.92127957645505,120.13068
2025-02-24,105.92510630831411,90.84386
2025-02-25,45.36518600996496,30.71690000000001
2025-02-26,173.77915512957958,211.0974499999998
2025-02-27,154.75703311899488,181.5232499999999
2025-02-28,124.62603900970016,126.3750199999999
2025-03-01,123.11555667419815,152.03228
2025-03-02,140.77439719028982,180.2380999999999
2025-03-03,127.07755600282385,120.4549999999999
2025-03-04,75.01219545361113,28.749
2025-03-05,174.91218126819143,239.7522199999997
2025-03-06,163.89472229092576,199.2430899999999
2025-03-07,126.48695350764719,182.8339499999999
2025-03-08,125.42268167651211,113.84793
2025-03-09,145.83603065356684,138.0016699999999
2025-03-10,131.4013905473887,132.7841399999999
2025-03-11,76.08898823747474,21.9209
2025-03-12,177.5418897259022,262.3802499999997
2025-03-13,165.28584808482802,227.1730499999998
2025-03-14,129.06016377498224,202.0810699999999
2025-03-15,127.68781089854654,115.00236
2025-03-16,147.11425142894785,114.19232
2025-03-17,132.4170219150203,100.71741
2025-03-18,76.0466055395721,28.6949
2025-03-19,178.8350721805056,183.5204399999999
2025-03-20,165.1778023745549,178.8023
2025-03-21,131.74231615198607,156.0654999999999
2025-03-22,129.8827478145617,117.76392
2025-03-23,147.0905100951483,108.3745699999999
2025-03-24,130.12394034953442,89.45205000000006
2025-03-25,76.62001750490856,22.60650000000001
2025-03-26,181.22312778201976,188.7947499999999
2025-03-27,163.25803655377268,152.9032599999999
2025-03-28,125.66919582188945,127.0747099999999
2025-03-29,132.56341184383837,97.56356000000005
2025-03-30,149.71039129710118,93.31848999999998
2025-03-31,131.12829516122645,77.45545
2025-04-01,69.1385866838554,0.0
2025-04-02,178.6651456529006,267.2403599999998
2025-04-03,160.3219580662655,201.18564
2025-04-04,128.75191121934148,152.34854
2025-04-05,116.95375799063243,150.99803
2025-04-06,158.18432952613273,162.52546
2025-04-07,130.7135471098233,138.68209
2025-04-08,81.05158792694692,58.45185000000001
2025-04-09,187.93054036651841,257.8428299999998
2025-04-10,170.52701232889245,305.0913200000001
2025-04-11,137.12340236469714,226.66618
2025-04-12,121.73806875772121,161.31966
2025-04-13,150.69864775449713,152.4908899999999
2025-04-14,119.28114443263594,169.9484499999998
2025-04-15,74.1485550205205,250.42249
2025-04-16,178.12480282814587,214.9861299999999
2025-04-17,159.79122099594937,219.3296699999999
2025-04-18,133.55456875645848,228.5621899999999
2025-04-19,121.15484868357491,128.92939
2025-04-20,149.77134987926314,119.0732100000001
2025-04-21,119.66197673221006,126.65066
2025-04-22,72.04800255451195,112.21762
2025-04-23,179.7614019586361,186.0225799999998
2025-04-24,164.85638983227037,192.7685
2025-04-25,135.94237965479343,179.5623999999999
2025-04-26,123.99998968386994,116.07037
2025-04-27,158.0739720878123,106.55203
2025-04-28,127.37559426837637,120.69862
2025-04-29,78.5400219286566,187.04979
2025-04-30,185.062167395585,172.2563
2025-05-01,157.7607498174827,166.1944399999998
2025-05-02,120.14358092654595,195.60283
2025-05-03,123.5466664700822,206.79341
2025-05-04,140.8868107496669,146.6702099999999
2025-05-05,125.01894873433557,103.17453
2025-05-06,73.06094055721701,183.6417099999998
2025-05-07,175.6623316212332,146.8130399999999
2025-05-08,161.86274159372923,150.2768899999999
